date,temp,feels_like,temp_min,temp_max,wind_speed,clouds_all,weather_main,weather_description,service
2010-01-01,274.06,269.32,273.48,274.45,5.1,75,Clouds,broken clouds,midi
2010-01-01,273.49,269.57,272.58,274.51,3.6,1,Clear,sky is clear,soir
2010-01-02,275.54,271.74,274.9,276.04,4.1,40,Clouds,scattered clouds,midi
2010-01-02,273.96,272.32,272.45,274.81,1.5,1,Clear,sky is clear,soir
2010-01-03,277.12,275.92,275.88,278.47,1.5,20,Clouds,few clouds,midi
2010-01-03,273.4,268.78,271.45,274.01,4.6,90,Clouds,overcast clouds,soir
2010-01-04,270.44,266.81,269.38,271.07,2.6,1,Clear,sky is clear,midi
2010-01-04,270.15,265.95,268.48,270.71,3.1,0,Clear,sky is clear,soir
2010-01-05,272.6,272.6,272.28,272.8,1.0,40,Clouds,scattered clouds,midi
2010-01-05,271.12,269.08,270.14,271.71,1.5,40,Clouds,scattered clouds,soir
2010-01-06,270.34,266.18,269.88,270.61,3.1,75,Snow,heavy snow,midi
2010-01-06,270.68,267.09,270.28,270.91,2.6,75,Mist,mist,soir
2010-01-07,270.14,265.94,269.37,270.91,3.1,40,Snow,heavy snow,midi
2010-01-07,268.87,268.87,264.67,270.81,1.0,1,Fog,fog,soir
2010-01-08,270.28,264.91,268.38,271.45,4.6,75,Mist,mist,midi
2010-01-08,270.43,263.88,269.7,270.81,6.7,75,Mist,mist,soir
2010-01-09,271.26,265.2,270.45,271.71,6.2,90,Snow,heavy snow,midi
2010-01-09,271.73,265.79,271.45,271.84,6.2,75,Clouds,broken clouds,soir
2010-01-10,272.73,270.08,272.45,273.11,2.1,75,Mist,mist,midi
2010-01-10,272.52,272.52,271.45,273.01,1.0,75,Mist,mist,soir
2010-01-11,273.8,273.8,273.36,274.4,1.0,75,Mist,mist,midi
2010-01-11,273.2,270.63,272.45,273.54,2.1,75,Mist,mist,soir
2010-01-12,273.57,270.07,272.98,273.91,3.1,40,Clouds,scattered clouds,midi
2010-01-12,273.53,269.27,273.26,273.81,4.1,90,Clouds,overcast clouds,soir
2010-01-13,276.35,273.06,275.45,276.97,3.6,90,Rain,very heavy rain,midi
2010-01-13,276.35,273.06,275.45,276.97,3.6,90,Mist,mist,midi
2010-01-13,276.1,274.02,275.0,276.74,2.1,90,Fog,fog,soir
2010-01-14,277.59,275.76,276.4,278.01,2.1,75,Clouds,broken clouds,midi
2010-01-14,276.44,275.15,274.08,278.01,1.5,40,Clouds,scattered clouds,soir
2010-01-15,276.47,273.97,275.48,276.64,2.6,90,Clouds,overcast clouds,midi
2010-01-15,276.08,273.51,275.45,276.51,2.6,90,Clouds,overcast clouds,soir
2010-01-16,276.84,274.01,275.78,277.45,3.1,75,Rain,light rain,midi
2010-01-16,279.17,276.21,278.68,279.45,4.1,90,Rain,light rain,soir
2010-01-17,281.92,279.59,281.18,282.21,4.1,40,Clouds,scattered clouds,midi
2010-01-17,279.96,279.16,277.8,280.31,1.5,1,Clear,sky is clear,soir
2010-01-18,277.94,277.94,276.88,278.41,0.0,90,Fog,fog,midi
2010-01-18,277.57,275.74,276.68,277.9,2.1,90,Fog,fog,soir
2010-01-19,274.8,272.5,274.18,275.21,2.1,75,Fog,fog,midi
2010-01-19,274.95,272.68,274.3,275.41,2.1,90,Clouds,overcast clouds,soir
2010-01-20,274.67,274.67,274.2,275.04,1.0,75,Rain,light rain,midi
2010-01-20,274.67,274.67,274.2,275.04,1.0,75,Mist,mist,midi
2010-01-20,278.62,276.52,276.28,279.7,2.6,40,Drizzle,light intensity drizzle,soir
2010-01-21,278.35,277.32,277.58,278.8,1.5,75,Clouds,broken clouds,midi
2010-01-21,277.86,276.77,276.45,279.41,1.5,75,Clouds,broken clouds,soir
2010-01-22,280.79,278.76,280.16,281.48,3.1,75,Clouds,broken clouds,midi
