,date,vacances_paris
10592,2019-01-01,1
10593,2019-01-02,1
10594,2019-01-03,1
10595,2019-01-04,1
10596,2019-01-05,1
10597,2019-01-06,1
10598,2019-01-07,0
10599,2019-01-08,0
10600,2019-01-09,0
10601,2019-01-10,0
10602,2019-01-11,0
10603,2019-01-12,0
10604,2019-01-13,0
10605,2019-01-14,0
10606,2019-01-15,0
10607,2019-01-16,0
10608,2019-01-17,0
10609,2019-01-18,0
10610,2019-01-19,0
10611,2019-01-20,0
10612,2019-01-21,0
10613,2019-01-22,0
10614,2019-01-23,0
10615,2019-01-24,0
10616,2019-01-25,0
10617,2019-01-26,0
10618,2019-01-27,0
10619,2019-01-28,0
10620,2019-01-29,0
10621,2019-01-30,0
10622,2019-01-31,0
10623,2019-02-01,0
10624,2019-02-02,0
10625,2019-02-03,0
10626,2019-02-04,0
10627,2019-02-05,0
10628,2019-02-06,0
10629,2019-02-07,0
10630,2019-02-08,0
10631,2019-02-09,0
10632,2019-02-10,0
10633,2019-02-11,0
10634,2019-02-12,0
10635,2019-02-13,0
10636,2019-02-14,0
10637,2019-02-15,0
10638,2019-02-16,0
10639,2019-02-17,0
10640,2019-02-18,0
10641,2019-02-19,0
10642,2019-02-20,0
10643,2019-02-21,0
10644,2019-02-22,0
10645,2019-02-23,1
10646,2019-02-24,1
10647,2019-02-25,1
10648,2019-02-26,1
10649,2019-02-27,1
10650,2019-02-28,1
10651,2019-03-01,1
10652,2019-03-02,1
10653,2019-03-03,1
10654,2019-03-04,1
10655,2019-03-05,1
10656,2019-03-06,1
10657,2019-03-07,1
10658,2019-03-08,1
10659,2019-03-09,1
10660,2019-03-10,1
10661,2019-03-11,0
10662,2019-03-12,0
10663,2019-03-13,0
10664,2019-03-14,0
10665,2019-03-15,0
10666,2019-03-16,0
10667,2019-03-17,0
10668,2019-03-18,0
10669,2019-03-19,0
10670,2019-03-20,0
10671,2019-03-21,0
10672,2019-03-22,0
10673,2019-03-23,0
10674,2019-03-24,0
10675,2019-03-25,0
