date,service,temp,feels_like,temp_min,temp_max,wind_speed,clouds_all,vacances_paris,clear,clouds,drizzle,drizzle_and_rain,fog,mist,rain,thunderstorm
2019-01-01,soir,280.87,280.87,279.48,281.45,0.45,90,1,0,0,light intensity drizzle,0,0,0,0,0
2019-01-02,midi,279.57,278.92,278.83,280.31,1.34,90,1,0,overcast clouds,0,0,0,0,0,0
2019-01-02,soir,278.95,277.22,277.71,279.81,2.24,90,1,0,overcast clouds,0,0,0,0,0,0
2019-01-03,midi,279.11,279.11,278.06,280.25,0.89,90,1,0,overcast clouds,0,0,0,0,0,0
2019-01-03,soir,278.57,278.57,277.38,279.69,0.45,90,1,0,overcast clouds,0,0,0,0,0,0
2019-01-04,midi,278.4,275.3,276.95,279.4,4.02,75,1,0,broken clouds,0,0,0,0,0,0
2019-01-04,soir,278.21,275.63,277.16,279.65,3.13,90,1,0,overcast clouds,0,0,0,0,0,0
2019-01-05,midi,278.54,276.74,277.16,279.38,2.24,90,1,0,overcast clouds,0,0,0,0,0,0
2019-01-05,soir,278.68,277.92,277.25,279.38,1.34,90,1,0,overcast clouds,0,0,0,0,0,0
2019-01-06,soir,278.76,277.79,277.25,279.71,1.5,90,1,0,0,0,0,0,0,light rain,0
2019-01-06,midi,278.6,278.6,277.16,279.69,0.45,90,1,0,overcast clouds,0,0,0,0,0,0
2019-01-07,soir,280.15,280.15,279.38,280.91,0.89,90,0,0,overcast clouds,0,0,0,0,0,0
2019-01-07,midi,280.94,280.94,279.73,281.45,0.45,90,0,0,overcast clouds,0,0,0,0,0,0
2019-01-08,soir,279.93,278.37,277.92,281.01,2.24,90,0,0,overcast clouds,0,0,0,0,0,0
2019-01-08,midi,281.92,281.58,280.84,282.47,1.34,75,0,0,broken clouds,0,0,0,0,0,0
2019-01-09,soir,276.79,275.17,275.03,278.58,1.79,40,0,0,0,0,0,0,0,light rain,0
2019-01-09,midi,278.63,275.59,277.16,280.8,4.02,75,0,0,0,0,0,0,0,light rain,0
2019-01-10,soir,277.29,277.29,276.05,278.31,0.45,0,0,sky is clear,0,0,0,0,0,0,0
2019-01-10,midi,277.41,276.48,276.14,278.58,1.34,0,0,sky is clear,0,0,0,0,0,0,0
2019-01-11,soir,280.74,280.74,278.92,281.91,0.45,75,0,0,0,0,0,0,mist,0,0
2019-01-11,midi,279.22,279.22,278.27,280.45,0.45,90,0,0,0,0,0,0,mist,0,0
2019-01-12,soir,281.54,279.94,280.03,283.02,2.68,90,0,0,0,0,0,0,0,light rain,0
2019-01-12,midi,280.63,279.2,279.38,281.58,2.24,90,0,0,overcast clouds,0,0,0,0,0,0
2019-01-13,midi,284.52,283.83,283.27,285.24,2.24,90,0,0,overcast clouds,0,0,0,0,0,0
2019-01-13,soir,283.64,282.81,282.25,284.24,3.58,90,0,0,overcast clouds,0,0,0,0,0,0
2019-01-14,soir,281.15,278.92,279.94,281.91,3.58,90,0,0,overcast clouds,0,0,0,0,0,0
2019-01-14,midi,282.11,280.93,281.05,282.58,2.24,90,0,0,overcast clouds,0,0,0,0,0,0
2019-01-15,midi,281.3,280.38,280.49,281.87,1.79,90,0,0,overcast clouds,0,0,0,0,0,0
2019-01-15,soir,280.58,280.58,279.38,281.36,0.45,90,0,0,overcast clouds,0,0,0,0,0,0
2019-01-16,midi,279.6,277.69,278.02,281.24,2.6,0,0,sky is clear,0,0,0,0,0,0,0
2019-01-16,soir,279.76,279.14,278.94,280.58,1.34,90,0,0,overcast clouds,0,0,0,0,0,0
2019-01-17,midi,280.34,279.79,279.36,281.0,1.34,75,0,0,broken clouds,0,0,0,0,0,0
2019-01-17,soir,275.79,274.65,274.07,277.03,1.34,0,0,sky is clear,0,0,0,0,0,0,0
2019-01-18,soir,274.56,272.27,273.02,275.92,2.06,40,0,0,scattered clouds,0,0,0,0,0,0
2019-01-18,midi,277.65,275.37,275.8,278.87,2.6,90,0,0,overcast clouds,0,0,0,0,0,0
2019-01-19,soir,274.72,272.41,273.81,275.36,2.1,90,0,0,0,0,0,0,0,light rain,0
2019-01-19,midi,274.15,270.38,272.16,275.58,3.6,90,0,0,0,0,0,0,0,light rain,0
2019-01-20,soir,275.78,272.08,274.38,276.91,4.02,90,0,0,0,0,0,0,mist,0,0
2019-01-20,midi,275.77,273.07,274.73,278.02,2.68,90,0,0,0,0,0,0,mist,0,0
2019-01-21,soir,272.73,269.53,270.28,274.31,2.6,1,0,sky is clear,0,0,0,0,0,0,0
2019-01-21,midi,274.48,274.48,273.37,276.42,0.45,1,0,sky is clear,0,0,0,0,0,0,0
2019-01-22,midi,273.77,273.77,273.02,275.25,0.45,90,0,0,0,0,0,0,0,light rain,0
2019-01-22,soir,274.19,274.19,272.81,275.25,0.45,90,0,0,0,0,0,0,mist,0,0
2019-01-23,soir,273.97,270.92,272.71,274.69,2.68,90,0,0,0,0,0,0,0,light rain,0
2019-01-23,midi,274.36,272.37,272.81,275.25,1.79,90,0,0,0,0,0,0,0,0,0
2019-01-24,soir,274.68,271.84,272.98,275.58,2.6,1,0,0,0,0,0,0,mist,0,0
2019-01-24,midi,274.54,272.98,273.25,275.87,1.5,90,0,0,0,0,0,0,mist,0,0
2019-01-25,soir,278.23,278.23,276.58,279.59,0.45,90,0,0,0,0,0,0,0,light rain,0
2019-01-25,midi,276.39,274.36,274.94,277.24,2.1,90,0,0,0,0,0,fog,0,0,0
2019-01-26,midi,282.06,280.56,280.49,282.97,2.68,90,0,0,0,0,0,0,0,light rain,0
