date,jour,service,CA_TTC,CA_HT,TVA,temp,feels_like,temp_min,temp_max,wind_speed,clouds_all,weather_main,weather_description,match_edf,roland_garros,fashion_week,Match Happening,Match Happening-CL,vacances_paris
2019-01-01,Mardi,soir,8345.0,7385.15,959.85,280.87,280.87,279.48,281.45,0.45,90.0,Drizzle,light intensity drizzle,0.0,0.0,0.0,,,
2019-01-02,Mercredi,midi,3939.0,3543.26,395.74,279.57,278.92,278.83,280.31,1.34,90.0,Clouds,overcast clouds,0.0,0.0,0.0,,,1
2019-01-02,Mercredi,soir,9045.5,7948.33,1097.17,278.95,277.22,277.71,279.81,2.24,90.0,Clouds,overcast clouds,0.0,0.0,0.0,,,
2019-01-03,Jeudi,midi,4836.0,4311.97,524.03,279.11,279.11,278.06,280.25,0.89,90.0,Clouds,overcast clouds,0.0,0.0,0.0,,,1
2019-01-03,Jeudi,soir,10024.0,8819.17,1204.83,278.57,278.57,277.38,279.69,0.45,90.0,Clouds,overcast clouds,0.0,0.0,0.0,,,
2019-01-04,Vendredi,midi,4806.0,4327.35,478.65,278.4,275.3,276.95,279.4,4.02,75.0,Clouds,broken clouds,0.0,0.0,0.0,,,1
2019-01-04,Vendredi,soir,13987.5,12301.85,1685.65,278.21,275.63,277.16,279.65,3.13,90.0,Clouds,overcast clouds,0.0,0.0,0.0,,,
2019-01-05,Samedi,soir,11756.0,10286.55,1469.45,278.68,277.92,277.25,279.38,1.34,90.0,Clouds,overcast clouds,0.0,0.0,0.0,,,
2019-01-05,Samedi,midi,4466.5,3997.73,468.77,278.54,276.74,277.16,279.38,2.24,90.0,Clouds,overcast clouds,0.0,0.0,0.0,,,1
2019-01-06,Dimanche,midi,3654.75,3280.91,373.84,278.6,278.6,277.16,279.69,0.45,90.0,Clouds,overcast clouds,0.0,0.0,0.0,,,1
2019-01-06,Dimanche,soir,5012.3,4412.86,599.44,278.76,277.79,277.25,279.71,1.5,90.0,Rain,light rain,0.0,0.0,0.0,,,
2019-01-07,Lundi,midi,2585.0,2328.41,256.59,280.94,280.94,279.73,281.45,0.45,90.0,Clouds,overcast clouds,0.0,0.0,0.0,,,0
2019-01-07,Lundi,soir,6734.9,5914.73,820.17,280.15,280.15,279.38,280.91,0.89,90.0,Clouds,overcast clouds,0.0,0.0,0.0,,,
2019-01-08,Mardi,midi,3344.0,3003.64,340.36,281.92,281.58,280.84,282.47,1.34,75.0,Clouds,broken clouds,0.0,0.0,0.0,,,0
2019-01-08,Mardi,soir,6977.0,6118.56,858.44,279.93,278.37,277.92,281.01,2.24,90.0,Clouds,overcast clouds,0.0,0.0,0.0,,,
2019-01-09,Mercredi,midi,3887.0,3467.73,419.27,278.63,275.59,277.16,280.8,4.02,75.0,Rain,light rain,0.0,0.0,0.0,,,0
2019-01-09,Mercredi,soir,9112.5,8000.42,1112.08,276.79,275.17,275.03,278.58,1.79,40.0,Rain,light rain,0.0,0.0,0.0,,,
2019-01-10,Jeudi,midi,4000.0,3604.73,395.27,277.41,276.48,276.14,278.58,1.34,0.0,Clear,sky is clear,0.0,0.0,0.0,0.0,0.0,0
2019-01-10,Jeudi,soir,11873.25,10420.29,1452.96,277.29,277.29,276.05,278.31,0.45,0.0,Clear,sky is clear,0.0,0.0,0.0,,,
2019-01-11,Vendredi,soir,12994.65,11379.82,1614.83,280.74,280.74,278.92,281.91,0.45,75.0,Mist,mist,0.0,0.0,0.0,,,
2019-01-11,Vendredi,midi,5051.5,4547.5,504.0,279.22,279.22,278.27,280.45,0.45,90.0,Mist,mist,0.0,0.0,0.0,0.0,,0
2019-01-11,Vendredi,midi,5051.5,4547.5,504.0,279.22,279.22,278.27,280.45,0.45,90.0,Rain,light rain,0.0,0.0,0.0,0.0,,0
2019-01-12,Samedi,midi,4330.5,3876.52,453.98,280.63,279.2,279.38,281.58,2.24,90.0,Clouds,overcast clouds,0.0,0.0,0.0,,,0
2019-01-12,Samedi,soir,11831.0,10369.09,1461.91,281.54,279.94,280.03,283.02,2.68,90.0,Rain,light rain,0.0,0.0,0.0,,,
2019-01-13,Dimanche,midi,5664.5,5068.71,595.79,284.52,283.83,283.27,285.24,2.24,90.0,Clouds,overcast clouds,0.0,0.0,0.0,,,0
2019-01-13,Dimanche,soir,6623.0,5852.95,770.05,283.64,282.81,282.25,284.24,3.58,90.0,Clouds,overcast clouds,0.0,0.0,0.0,,,
2019-01-14,Lundi,midi,3761.5,3376.21,385.29,282.11,280.93,281.05,282.58,2.24,90.0,Clouds,overcast clouds,0.0,0.0,0.0,,,0
2019-01-14,Lundi,soir,8058.0,7077.27,980.73,281.15,278.92,279.94,281.91,3.58,90.0,Clouds,overcast clouds,0.0,0.0,0.0,,,
2019-01-15,Mardi,midi,2864.7,2581.47,283.23,281.3,280.38,280.49,281.87,1.79,90.0,Clouds,overcast clouds,0.0,0.0,1.0,,,0
2019-01-15,Mardi,soir,9954.5,8723.33,1231.17,280.58,280.58,279.38,281.36,0.45,90.0,Clouds,overcast clouds,0.0,0.0,1.0,,,
2019-01-16,Mercredi,soir,10778.5,9455.68,1322.82,279.76,279.14,278.94,280.58,1.34,90.0,Clouds,overcast clouds,0.0,0.0,1.0,,,
2019-01-16,Mercredi,midi,6194.2,5609.01,585.19,279.6,277.69,278.02,281.24,2.6,0.0,Clear,sky is clear,0.0,0.0,1.0,,,0
2019-01-17,Jeudi,midi,5747.56,5166.12,581.44,280.34,279.79,279.36,281.0,1.34,75.0,Clouds,broken clouds,0.0,0.0,1.0,,,0
2019-01-17,Jeudi,soir,13536.4,11829.14,1707.26,275.79,274.65,274.07,277.03,1.34,0.0,Clear,sky is clear,0.0,0.0,1.0,,,
2019-01-18,Vendredi,midi,5413.0,4873.33,539.67,277.65,275.37,275.8,278.87,2.6,90.0,Clouds,overcast clouds,0.0,0.0,1.0,,,0
2019-01-18,Vendredi,soir,14639.5,12778.14,1861.36,274.56,272.27,273.02,275.92,2.06,40.0,Clouds,scattered clouds,0.0,0.0,1.0,,,
2019-01-19,Samedi,midi,6266.5,5618.71,647.79,274.15,270.38,272.16,275.58,3.6,90.0,Rain,light rain,0.0,0.0,1.0,0.0,,0
2019-01-19,Samedi,soir,13984.15,12271.84,1712.31,274.72,272.41,273.81,275.36,2.1,90.0,Rain,light rain,0.0,0.0,1.0,,,
2019-01-20,Dimanche,midi,5446.0,4879.09,566.91,275.77,273.07,274.73,278.02,2.68,90.0,Mist,mist,0.0,0.0,1.0,,,0
2019-01-20,Dimanche,soir,10065.0,8873.03,1191.97,275.78,272.08,274.38,276.91,4.02,90.0,Mist,mist,0.0,0.0,1.0,,,
2019-01-21,Lundi,soir,10464.5,9206.06,1258.44,272.73,269.53,270.28,274.31,2.6,1.0,Clear,sky is clear,0.0,0.0,0.0,,,
2019-01-21,Lundi,midi,3187.5,2862.8,324.7,274.48,274.48,273.37,276.42,0.45,1.0,Clear,sky is clear,0.0,0.0,0.0,,,0
2019-01-22,Mardi,soir,9582.0,8426.59,1155.41,274.19,274.19,272.81,275.25,0.45,90.0,Mist,mist,0.0,0.0,0.0,,,
